Name,Category,PostalCode,City,Province,Address,Latitude,Longitude
"…lectrium, Hydro-QuÈbec's Electricity Interpretation Centre",art or cultural centre,J3X 1Y2,sainte-julie,qc,"2001, rue michael-faraday",45.605873,-73.378437
Aanischaaukamikw Cree Cultural Institute,art or cultural centre,G0W 3C0,bougoumou,qc,205 opemiska meskino ouje-bougoumou quÈbec g0w 3c0 canada,49.9240065,-74.8206599
Aberdeen Cultural Centre,art or cultural centre,E1C 4X5,moncton,nb,130 botsford st,46.09320862,-64.77800739
Adelaide Hunter Hoodless Homestead,art or cultural centre,N0E 1N0,st-george,on,359 blue lake rd st. george ontario n0e 1n0 canada,43.2371236,-80.29698563
Africville Heritage Trust Society,art or cultural centre,B3K 2R9,halifax,ns,5795 africville rd halifax nova scotia b3k 2r9 canada,44.6738443,-63.61948353
Agnes Etherington Art Centre,art or cultural centre,K7L 3N6,kingston,on,queen's university 99 university ave kingston ontario k7l 3n6 canada,44.2262622,-76.49519031
Algonquin Culture & Heritage Centre,art or cultural centre,K0J 1X0,golden,on,1674 mishomis road golden lake ontario k0j 1x0 canada,43.25281421,-79.10324617
Ancient Echoes Interpretive Center,art or cultural centre,S0L 1L0,herschel,sk,330 west road po box 40 herschel saskatchewan s0l 1l0 canada,..,..
Angmarlik Visitor Center,art or cultural centre,X0A 0R0,pangnirtung,nu,po. 227 pangnirtung nunavut x0a 0r0 canada,66.1480197,-65.7172826
Arts & Cultural Centre,art or cultural centre,..,port moody,bc,2425 st johns street,49.27638531,-122.8571362
Arts Inter-Media Canada / Dance Collection Danse,art or cultural centre,M5B 1Y4,toronto,on,301-149 church street toronto ontario m5b 1y4 canada,43.66740135,-79.40192079
Aurora Cultural Centre,art or cultural centre,L4G 1G4,aurora,on,22 church st aurora ontario l4g 1g4 canada,43.9971577,-79.4652073
Banting Interpretation Centre,art or cultural centre,A0G 3J0,musgrave harbour,nl,p.o. box 159 musgrave harbour newfoundland & labrador a0g 3j0 canada,49.4257721,-53.96841778
BC Wildlife Park,art or cultural centre,V2C 6V1,kamloops,bc,9077 east dallas drive (18 km east of kamloops on transcanada highway) kamloops british columbia v2c 6v1 canada,50.6545626,-120.0766758
Big Droke Pre-Historic Cultures Foundation Inc.,art or cultural centre,A0K 1L0,bird cove,nl,84-92 michael's drive bird cove newfoundland & labrador a0k 1l0 canada,..,..
Black Cultural Centre For Nova Scotia,art or cultural centre,B2Z 1A8,dartmouth,ns,10 cherry brook road dartmouth nova scotia b2z 1a8 canada,44.70335555,-63.47109955
Botwood Heritage Centre,art or cultural centre,A0H 1E0,botwood,nl,botwood airbase botwood newfoundland & labrador a0h 1e0 canada,49.15181445,-55.34081284
Bovaird House,art or cultural centre,L6Z 2S7,brampton,on,563 bovaird dr e,43.71664495,-79.77496135
Brampton Fairgrounds,art or cultural centre,L7C 2J3,caledon,on,12942 heart lake rd,43.76777375,-79.82819222
Burin Heritage Tourism Association,art or cultural centre,A0E 1E0,burin,nl,seaview drive burin newfoundland & labrador a0e 1e0 canada,47.0324094,-55.1745269
Burlington Performing Arts Centre,art or cultural centre,..,burlington,on,440 locust st.,43.32423579,-79.79867349
Caetani Cultural Centre,art or cultural centre,V1T 4L4,vernon,bc,3401 pleasant valley road vernon british columbia v1t 4l4 canada,50.2711941,-119.2571802
Calgary Chinese Cultural Centre,art or cultural centre,..,calgary,ab,197 1 st sw,51.05130954,-114.0654814
Calgary Italian Cultural Centre,art or cultural centre,..,calgary,ab,416 1 av ne,51.0537463,-114.0531472
Canadian Centre For Architecture,art or cultural centre,H3H 2S6,montrÈal,qc,"1920, rue baile",45.491074,-73.578726
Canadian Centre For the Great War,art or cultural centre,H4E 1A8,montrÈal,qc,5524a st patrick suite 202 montrÈal quÈbec h4e 1a8 canada,45.4748791,-73.5694754
Cap De Bon-DÈsir Interpretation And Observation Centre - National Marine Conservation Area,art or cultural centre,G0T 1G0,les bergeronnes,qc,"13, chemin du cap-de-bon-dÈsir, route 138",48.276346,-69.476154
Cape Breton Centre For Heritage And Science,art or cultural centre,B1P 1J5,sydney,ns,225 george street sydney nova scotia b1p 1j5 canada,46.1421997,-60.19383694
Cape Sable Historical Society Centre,art or cultural centre,B0W 1E0,barrington,ns,2401 highway 3 old court house barrington nova scotia b0w 1e0 canada,..,..
Carrefour Mondial De L'AccordÈon,art or cultural centre,G5V 1C5,montmagny,qc,301 boulevard tachÈ est montmagny quÈbec g5v 1c5 canada,46.9918558,-70.5227459
Central Technical High School (Art Centre),art or cultural centre,M5S 2R5,toronto,on,725 bathurst st,43.6627127,-79.4098118
Centre Culturel De Pierrefonds,art or cultural centre,H8Z 1X7,montrÈal,qc,"13850, boulevard gouin ouest",45.4969306,-73.8497928
Centre Culturel De Verdun,art or cultural centre,H4H 1H6,montrÈal,qc,"5955, rue bannantyne",45.4482057,-73.5770269
Centre Culturel Franco Manitobain,art or cultural centre,R2H 0G7,saint-boniface,mb,340 boulevard provencher saint-boniface manitoba r2h 0g7 canada,49.89243665,-97.12215381
Centre Culturel Frontenac,art or cultural centre,..,kingston,on,711 dalton av,44.27102083,-76.52312726
Centre D'…tudes Acadiennes,art or cultural centre,E1A 3E9,moncton,nb,universitÈ de moncton moncton new brunswick e1a 3e9 canada,46.1055872,-64.78698903
Centre D'Accueil Et D'InterprÈtation -Parc National Du Canada De La Mauricie,art or cultural centre,G0X 2V0,saint jean des piles,qc,sortie 226 de l'autoroute 55 saint-jean-des-piles quÈbec g0x 2v0 canada,..,..
Centre D'Art De Kamouraska,art or cultural centre,G0L 1M0,kamouraska,qc,"111, avenue morel",47.562013,-69.871297
Centre D'Art Diane-Dufresne,art or cultural centre,J6A 0C2,repentigny,qc,"11, allÈe de la crÈation",45.738677,-73.448166
Centre D'Art Et D'Exposition De Saint-Georges,art or cultural centre,G5Y 4S9,saint-georges,qc,"centre culturel marie-fitzbach 250, 18e rue",46.116946,-70.674053
Centre D'Art La Chapelle,art or cultural centre,..,quÈbec city,qc,..,46.82445012,-71.26143818
Centre D'Art La Maison Mauger,art or cultural centre,..,quÈbec city,qc,..,46.85805994,-71.33666863
Centre D'Art Maison Hamel-Bruneau,art or cultural centre,..,quÈbec city,qc,..,46.76716529,-71.27318247
Centre D'Art Maison O'Neil,art or cultural centre,..,quebec city,qc,..,46.80701814,-71.30727321
Centre D'Art Maison Routhier,art or cultural centre,..,quÈbec,qc,..,46.76873364,-71.31976463
Centre D'Art Maison SanfaÁon-Paradis,art or cultural centre,..,quÈbec,qc,..,46.87967447,-71.24793493
Centre D'Art Moulin Des JÈsuites,art or cultural centre,..,quÈbec,qc,..,46.86256962,-71.26695464
Centre D'Art Palais Montcalm,art or cultural centre,..,quÈbec city,qc,..,46.81197326,-71.21331624
Centre D'Art Rotary,art or cultural centre,J9Z 1Y3,la sarre,qc,"195, rue principale",48.80707,-79.20539
Centre D'Art Villa Bagatelle,art or cultural centre,..,quÈbec city,qc,..,46.78844511,-71.24680339
Centre D'Arts Visuels De Saint-Hubert,art or cultural centre,J3Y 3L4,saint-hubert,qc,7450 boulevard cousineau saint-hubert quÈbec j3y 3l4 canada,45.4843958,-73.3943075
"Centre D'Exposition D'Amos, Maison De La Culture",art or cultural centre,J9T 1H3,amos,qc,"222, 1Ëre avenue est",48.57170649,-78.11053534
Centre D'Exposition De L'UniversitÈ De MontrÈal,art or cultural centre,H3T 1B9,montrÈal,qc,"2940, chemin de la cÙte-sainte-catherine pavillon de la facultÈ de l'amÈnagement universitÈ de montrÈal local 0056",45.504516,-73.621279
Centre D'Exposition De Rouyn-Noranda,art or cultural centre,J9X 4T5,Rouyn-Noranda,qc,"201, ave. dallaire, local 154",48.23702561,-79.02205649
